               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.028267,            0.029207,           0.0019547,             0.61216,             0.64287,             0.62812,             0.30112,            0.035827,             0.01553,           0.0099082,           0.0042899,           0.0042899,           0.0042899
                  90,            0.028076,            0.033963,            0.001618,             0.59211,             0.62988,             0.61278,             0.28871,            0.036493,            0.015875,            0.010194,           0.0041994,           0.0041994,           0.0041994
                  91,            0.028399,            0.031738,           0.0019085,             0.64389,             0.59015,             0.61499,             0.29546,            0.036874,            0.015984,           0.0096466,           0.0041094,           0.0041094,           0.0041094
                  92,            0.028105,            0.033671,           0.0014546,             0.63177,             0.61414,             0.62609,             0.29649,            0.036479,            0.015924,           0.0088655,           0.0040201,           0.0040201,           0.0040201
                  93,              0.0276,            0.032332,            0.001259,             0.64561,             0.59455,             0.62771,             0.28499,            0.036507,            0.016059,           0.0085204,           0.0039314,           0.0039314,           0.0039314
                  94,            0.027795,            0.030989,           0.0015619,             0.65777,             0.58485,             0.61758,             0.28561,            0.037172,            0.016273,           0.0089095,           0.0038434,           0.0038434,           0.0038434
                  95,            0.027768,            0.034024,           0.0012083,             0.62106,             0.59105,             0.60675,              0.2906,            0.037364,            0.015963,           0.0086809,           0.0037562,           0.0037562,           0.0037562
                  96,            0.027474,            0.033145,            0.001304,             0.60049,             0.62658,             0.61206,             0.28897,            0.037332,            0.015939,           0.0092178,           0.0036697,           0.0036697,           0.0036697
                  97,            0.027642,            0.034399,           0.0014054,             0.61416,             0.62986,             0.62116,             0.29195,            0.037279,             0.01611,           0.0094453,            0.003584,            0.003584,            0.003584
                  98,            0.026755,             0.02963,           0.0014666,             0.63652,             0.59708,             0.62383,             0.29091,            0.037151,            0.016123,           0.0098165,           0.0034991,           0.0034991,           0.0034991
                  99,            0.027316,             0.03048,           0.0011392,             0.62694,             0.63039,             0.62991,             0.29584,            0.036743,            0.015848,           0.0095561,           0.0034152,           0.0034152,           0.0034152
                 100,              0.0276,            0.031338,           0.0010799,             0.63635,             0.61043,             0.61662,             0.28826,            0.037341,            0.016049,           0.0097334,           0.0033321,           0.0033321,           0.0033321
                 101,            0.027481,            0.034405,           0.0015407,              0.6694,             0.59538,             0.63299,             0.29511,            0.036773,            0.016231,           0.0092287,             0.00325,             0.00325,             0.00325
                 102,            0.027151,            0.032508,           0.0013484,             0.65066,             0.59459,             0.62019,             0.29446,            0.037009,            0.016295,           0.0091953,           0.0031689,           0.0031689,           0.0031689
                 103,            0.027181,            0.031289,           0.0012023,             0.62876,             0.60622,             0.61405,              0.2924,            0.037074,            0.016483,           0.0095083,           0.0030888,           0.0030888,           0.0030888
                 104,             0.02681,            0.032617,           0.0016099,             0.66148,             0.59701,             0.62295,             0.30029,            0.036593,            0.016297,           0.0094884,           0.0030097,           0.0030097,           0.0030097
                 105,            0.026479,            0.031484,           0.0013967,             0.64564,             0.60429,             0.62042,             0.29778,            0.036366,            0.016278,            0.010337,           0.0029318,           0.0029318,           0.0029318
